,id_cliente,data_cadastro,tempo_uso,qtde_pedidos,valor_medio,uso_cupom,usou_app_ultimo_mes,cancelou,categoria_tempo_uso
0,1,2024-10-25,235,5,127.38,0,usou,0,antigo
1,2,2023-09-11,645,3,103.02,0,usou,0,antigo
2,3,2023-07-06,712,4,61.12,0,usou,0,antigo
3,4,2025-01-12,156,3,97.93,1,usou,0,intermediário
4,5,2024-01-16,518,3,63.99,1,não usou,0,antigo
5,6,2023-12-24,541,8,79.83,1,não usou,0,antigo
6,7,2023-12-07,558,2,103.21,0,não usou,0,antigo
7,8,2023-10-03,623,4,63.86,0,não usou,0,antigo
8,9,2025-01-09,159,5,89.94,0,não usou,0,intermediário
9,10,2023-09-04,652,6,109.27,1,usou,0,antigo
10,11,2024-11-23,206,3,37.44,0,usou,0,antigo
11,12,2025-01-12,156,3,111.27,0,não usou,1,intermediário
12,13,2025-05-09,39,10,68.24,1,usou,0,intermediário
13,14,2024-08-13,308,3,36.09,0,usou,0,antigo
14,15,2023-08-23,664,7,81.81,0,não usou,1,antigo
15,16,2024-09-17,273,4,153.9,1,usou,0,antigo
16,17,2024-05-09,404,5,65.2,0,não usou,0,antigo
17,18,2023-07-11,707,2,107.69,0,usou,0,antigo
18,19,2023-07-10,708,5,104.41,1,usou,0,antigo
19,20,2023-08-28,659,5,43.07,0,usou,0,antigo
20,21,2023-12-03,562,4,86.79,0,não usou,0,antigo
21,22,2023-12-14,551,0,105.42,0,usou,0,antigo
22,23,2024-07-13,339,5,108.9,1,usou,0,antigo
23,24,2024-09-26,264,6,92.38,1,usou,0,antigo
24,25,2023-07-07,711,4,47.87,1,usou,1,antigo
25,26,2024-08-25,296,1,94.47,1,usou,1,antigo
26,27,2023-11-18,577,6,101.3,1,usou,0,antigo
27,28,2024-12-24,175,8,82.77,0,usou,0,intermediário
28,29,2024-11-02,227,10,84.95,0,usou,0,antigo
29,30,2024-12-12,187,2,54.32,0,usou,0,antigo
30,31,2024-08-13,308,5,81.37,0,usou,0,antigo
31,32,2024-05-07,406,6,60.45,0,usou,0,antigo
32,33,2023-12-05,560,4,132.96,1,não usou,1,antigo
33,34,2024-05-30,383,7,92.15,0,não usou,0,antigo
34,35,2024-09-16,274,5,72.42,0,usou,0,antigo
35,36,2024-01-19,515,3,42.57,1,usou,0,antigo
36,37,2025-03-06,103,2,99.41,0,usou,0,intermediário
37,38,2025-04-22,56,7,83.78,0,não usou,0,intermediário
38,39,2023-06-22,726,4,62.32,0,usou,0,antigo
39,40,2025-01-26,142,8,105.49,0,usou,0,intermediário
40,41,2025-03-03,106,9,72.82,0,usou,0,intermediário
41,42,2023-10-19,607,7,105.62,1,usou,0,antigo
42,43,2024-12-10,189,3,17.3,1,usou,0,antigo
43,44,2024-05-10,403,4,133.11,1,não usou,0,antigo
44,45,2024-03-07,467,2,114.63,1,usou,0,antigo
45,46,2024-01-18,516,4,65.68,1,não usou,0,antigo
46,47,2023-10-15,611,1,89.68,1,usou,1,antigo
47,48,2023-12-01,564,5,55.18,1,não usou,0,antigo
48,49,2025-01-30,138,7,144.6,0,usou,0,intermediário
49,50,2024-03-04,470,6,56.98,0,usou,0,antigo
50,51,2023-09-04,652,7,102.26,0,usou,0,antigo
51,52,2023-08-28,659,1,124.3,0,usou,1,antigo
52,53,2024-04-07,436,7,76.74,1,usou,1,antigo
53,54,2023-08-31,656,7,78.34,1,usou,0,antigo
54,55,2024-03-21,453,5,83.45,1,usou,0,antigo
55,56,2025-04-05,73,3,126.54,1,usou,0,intermediário
56,57,2024-03-10,464,2,111.75,0,usou,1,antigo
57,58,2024-09-27,263,7,27.24,1,usou,0,antigo
58,59,2024-01-08,526,6,46.96,0,usou,0,antigo
59,60,2025-03-04,105,3,94.63,0,não usou,0,intermediário
60,61,2023-07-20,698,2,63.39,0,usou,0,antigo
61,62,2025-01-03,165,5,44.06,0,usou,0,intermediário
62,63,2024-06-07,375,4,61.2,1,não usou,0,antigo
63,64,2024-08-06,315,6,14.24,0,não usou,0,antigo
64,65,2023-09-21,635,1,60.6,0,usou,0,antigo
65,66,2024-04-06,437,6,47.55,0,não usou,0,antigo
66,67,2023-08-17,670,7,66.26,0,não usou,0,antigo
67,68,2024-08-18,303,3,61.22,0,usou,0,antigo
68,69,2024-01-30,504,8,29.92,1,não usou,0,antigo
69,70,2025-03-22,87,3,96.3,1,não usou,0,intermediário
70,71,2024-10-17,243,3,54.19,0,usou,0,antigo
71,72,2024-10-09,251,7,68.46,1,usou,1,antigo
72,73,2025-05-04,44,4,94.64,1,não usou,0,intermediário
73,74,2025-04-16,62,2,127.4,1,usou,0,intermediário
74,75,2024-03-23,451,7,80.55,0,usou,0,antigo
75,76,2024-09-07,283,7,130.29,1,usou,0,antigo
76,77,2023-11-13,582,5,82.15,1,usou,0,antigo
77,78,2024-12-15,184,4,65.67,1,não usou,0,antigo
78,79,2023-08-10,677,7,85.12,0,usou,1,antigo
79,80,2023-07-22,696,4,105.07,1,usou,0,antigo
80,81,2024-11-11,218,9,50.31,1,usou,0,antigo
81,82,2023-12-11,554,5,76.23,0,usou,0,antigo
82,83,2025-02-06,131,6,34.92,0,não usou,0,intermediário
83,84,2024-01-27,507,6,72.18,1,não usou,1,antigo
84,85,2023-08-17,670,2,80.02,0,não usou,0,antigo
85,86,2025-04-11,67,4,84.75,0,usou,0,intermediário
86,87,2023-12-14,551,6,88.7,1,usou,0,antigo
87,88,2025-04-20,58,2,72.36,0,usou,0,intermediário
88,89,2023-09-03,653,1,101.65,0,não usou,0,antigo
89,90,2024-04-07,436,3,46.13,0,usou,0,antigo
90,91,2024-01-18,516,6,29.91,1,usou,0,antigo
91,92,2024-06-03,379,5,132.94,0,usou,0,antigo
92,93,2024-10-22,238,8,89.23,1,não usou,0,antigo
93,94,2025-03-25,84,5,28.69,1,não usou,0,intermediário
94,95,2024-03-26,448,5,87.68,1,usou,0,antigo
95,96,2023-10-21,605,4,109.48,0,usou,0,antigo
96,97,2024-03-30,444,4,50.72,0,usou,0,antigo
97,98,2024-03-18,456,3,111.61,0,usou,0,antigo
98,99,2023-11-26,569,5,78.95,1,usou,0,antigo
99,100,2024-11-18,211,6,133.12,1,não usou,1,antigo
100,101,2024-01-10,524,9,34.2,1,usou,0,antigo
101,102,2024-12-13,186,5,78.26,1,não usou,1,antigo
102,103,2024-11-28,201,7,37.85,0,não usou,0,antigo
103,104,2024-11-01,228,3,95.03,0,usou,0,antigo
104,105,2023-08-11,676,4,82.47,1,usou,1,antigo
105,106,2024-10-02,258,9,111.96,1,não usou,0,antigo
106,107,2024-10-22,238,4,21.99,1,não usou,1,antigo
107,108,2023-10-27,599,7,43.78,1,não usou,1,antigo
108,109,2024-08-04,317,5,96.66,0,não usou,1,antigo
109,110,2025-01-03,165,7,61.31,1,não usou,0,intermediário
110,111,2023-12-24,541,5,96.3,0,não usou,0,antigo
111,112,2023-10-21,605,4,112.51,0,usou,0,antigo
112,113,2024-06-10,372,8,87.2,1,usou,0,antigo
113,114,2024-04-06,437,9,89.17,1,não usou,0,antigo
114,115,2024-01-12,522,5,104.53,1,usou,0,antigo
115,116,2024-10-26,234,7,35.32,1,usou,0,antigo
116,117,2024-12-02,197,5,25.7,1,não usou,0,antigo
117,118,2024-08-22,299,5,108.95,0,usou,0,antigo
118,119,2023-12-04,561,7,99.46,0,não usou,0,antigo
119,120,2024-11-29,200,6,109.62,1,usou,0,antigo
120,121,2024-02-23,480,5,42.45,1,usou,1,antigo
121,122,2025-04-01,77,7,123.31,0,usou,0,intermediário
122,123,2025-02-02,135,3,59.71,0,usou,0,intermediário
123,124,2025-02-08,129,5,134.03,0,usou,0,intermediário
124,125,2023-07-30,688,5,50.99,0,usou,0,antigo
125,126,2023-12-11,554,4,78.57,0,usou,0,antigo
126,127,2025-03-16,93,2,49.95,0,usou,0,intermediário
127,128,2023-07-11,707,2,71.57,1,usou,0,antigo
128,129,2025-03-03,106,7,83.44,1,usou,0,intermediário
129,130,2024-02-17,486,3,108.5,0,não usou,0,antigo
130,131,2024-04-23,420,6,131.83,0,usou,1,antigo
131,132,2024-01-10,524,3,93.09,0,não usou,0,antigo
132,133,2023-08-07,680,7,86.73,0,usou,0,antigo
133,134,2023-11-27,568,7,111.41,1,usou,0,antigo
134,135,2024-08-30,291,5,79.23,0,usou,0,antigo
135,136,2025-04-27,51,6,115.18,1,usou,0,intermediário
136,137,2024-12-25,174,4,82.3,0,usou,0,intermediário
137,138,2024-02-16,487,4,41.51,0,usou,0,antigo
138,139,2023-11-29,566,6,77.85,0,usou,0,antigo
139,140,2024-11-07,222,5,78.88,0,usou,1,antigo
140,141,2024-07-08,344,0,84.18,1,usou,0,antigo
141,142,2024-04-19,424,3,93.58,0,usou,0,antigo
142,143,2025-05-04,44,6,106.1,1,usou,0,intermediário
143,144,2024-10-28,232,5,94.87,1,não usou,0,antigo
144,145,2024-06-07,375,5,78.08,1,usou,0,antigo
145,146,2023-10-05,621,10,89.86,0,não usou,0,antigo
146,147,2024-01-08,526,5,41.21,0,usou,0,antigo
147,148,2023-10-03,623,6,61.97,0,usou,0,antigo
148,149,2023-12-25,540,7,102.77,0,usou,0,antigo
149,150,2025-01-15,153,4,88.44,0,usou,0,intermediário
150,151,2024-08-26,295,6,96.5,0,usou,0,antigo
151,152,2024-08-08,313,5,50.95,0,não usou,0,antigo
152,153,2024-01-07,527,7,42.68,1,não usou,0,antigo
153,154,2025-01-17,151,5,59.21,0,usou,0,intermediário
154,155,2024-09-13,277,2,116.74,0,não usou,0,antigo
155,156,2024-05-14,399,6,128.7,1,usou,1,antigo
156,157,2025-05-14,34,3,68.63,0,usou,0,intermediário
157,158,2024-09-12,278,3,73.89,0,não usou,0,antigo
158,159,2024-04-22,421,6,100.85,1,usou,0,antigo
159,160,2024-03-24,450,6,138.4,0,usou,0,antigo
160,161,2023-12-04,561,7,116.39,0,usou,0,antigo
161,162,2023-10-02,624,5,84.25,0,não usou,0,antigo
162,163,2024-07-16,336,4,144.67,0,usou,0,antigo
163,164,2024-07-04,348,6,46.06,1,usou,0,antigo
164,165,2023-08-26,661,4,48.9,1,usou,0,antigo
165,166,2025-01-24,144,6,119.39,0,usou,0,intermediário
166,167,2023-07-23,695,2,95.23,0,usou,0,antigo
167,168,2025-04-15,63,3,81.62,1,usou,0,intermediário
168,169,2023-09-10,646,3,63.09,0,usou,0,antigo
169,170,2023-10-13,613,6,67.67,1,usou,0,antigo
170,171,2024-10-16,244,4,116.23,1,usou,0,antigo
171,172,2023-10-19,607,2,70.5,0,usou,0,antigo
172,173,2025-02-21,116,2,50.18,0,usou,0,intermediário
173,174,2024-11-26,203,3,79.07,1,usou,0,antigo
174,175,2024-05-09,404,9,77.35,1,usou,0,antigo
175,176,2024-09-22,268,4,107.64,1,usou,0,antigo
176,177,2023-08-05,682,1,69.04,0,não usou,1,antigo
177,178,2024-04-10,433,6,85.54,0,não usou,0,antigo
178,179,2024-04-08,435,2,109.88,1,usou,0,antigo
179,180,2024-09-21,269,5,57.3,1,usou,0,antigo
180,181,2024-06-14,368,7,48.66,0,usou,1,antigo
181,182,2024-07-31,321,2,21.01,1,usou,0,antigo
182,183,2023-12-29,536,11,89.79,1,não usou,0,antigo
183,184,2024-08-19,302,6,80.91,0,usou,0,antigo
184,185,2025-04-15,63,7,73.73,1,não usou,0,intermediário
185,186,2023-06-25,723,6,54.48,1,não usou,0,antigo
186,187,2024-11-26,203,4,101.67,1,usou,0,antigo
187,188,2024-12-27,172,6,68.82,1,usou,0,intermediário
188,189,2023-09-13,643,4,126.26,0,usou,0,antigo
189,190,2024-11-27,202,5,140.18,0,usou,0,antigo
190,191,2025-05-04,44,5,77.52,0,usou,1,intermediário
191,192,2024-08-07,314,6,76.35,1,usou,0,antigo
192,193,2025-01-20,148,4,84.23,0,usou,0,intermediário
193,194,2024-01-10,524,7,26.95,0,usou,0,antigo
194,195,2025-02-02,135,5,102.98,1,não usou,0,intermediário
195,196,2024-10-26,234,4,116.81,0,usou,0,antigo
196,197,2024-03-07,467,3,83.05,0,usou,0,antigo
197,198,2023-09-11,645,5,46.07,0,não usou,0,antigo
198,199,2024-01-30,504,7,55.75,0,não usou,0,antigo
199,200,2024-05-19,394,6,70.54,1,usou,0,antigo
200,201,2023-10-17,609,7,98.57,0,usou,0,antigo
201,202,2024-06-03,379,3,141.72,0,não usou,0,antigo
202,203,2023-06-19,729,7,106.49,0,usou,0,antigo
203,204,2024-12-28,171,7,77.66,1,usou,0,intermediário
204,205,2025-04-27,51,7,69.96,0,usou,0,intermediário
205,206,2024-12-26,173,3,67.89,1,usou,0,intermediário
206,207,2024-01-07,527,8,80.98,0,usou,0,antigo
207,208,2024-07-09,343,5,71.99,1,usou,0,antigo
208,209,2025-01-28,140,6,105.22,0,não usou,0,intermediário
209,210,2023-11-02,593,7,96.4,1,usou,0,antigo
210,211,2024-07-15,337,4,67.94,1,não usou,0,antigo
211,212,2023-09-07,649,4,95.73,0,usou,1,antigo
212,213,2025-04-23,55,8,28.85,1,usou,0,intermediário
213,214,2024-10-14,246,3,11.69,1,usou,0,antigo
214,215,2024-02-03,500,5,106.66,0,usou,0,antigo
215,216,2025-03-31,78,4,64.2,0,usou,0,intermediário
216,217,2024-10-25,235,3,108.51,1,não usou,0,antigo
217,218,2024-07-15,337,2,131.32,0,usou,0,antigo
218,219,2024-10-02,258,4,109.26,1,usou,0,antigo
219,220,2023-11-18,577,7,95.03,1,usou,0,antigo
220,221,2023-10-13,613,3,145.13,1,usou,0,antigo
221,222,2024-04-02,441,3,74.72,0,usou,0,antigo
222,223,2025-01-29,139,4,93.56,0,não usou,0,intermediário
223,224,2023-10-20,606,0,42.8,0,não usou,0,antigo
224,225,2024-08-08,313,5,75.2,0,usou,0,antigo
225,226,2025-02-10,127,7,100.14,0,usou,0,intermediário
226,227,2024-08-01,320,7,65.51,0,não usou,0,antigo
227,228,2023-06-17,731,4,84.4,0,usou,0,antigo
228,229,2024-09-24,266,1,95.36,1,usou,0,antigo
229,230,2024-02-23,480,1,74.95,1,usou,0,antigo
230,231,2024-06-30,352,4,45.69,0,usou,0,antigo
231,232,2023-07-02,716,3,83.26,0,usou,0,antigo
232,233,2023-09-11,645,8,95.84,1,usou,0,antigo
233,234,2024-03-24,450,7,94.66,0,não usou,0,antigo
234,235,2025-04-29,49,2,119.31,0,não usou,0,intermediário
235,236,2025-03-23,86,6,121.87,1,não usou,0,intermediário
236,237,2025-03-04,105,3,47.06,0,usou,0,intermediário
237,238,2024-02-10,493,6,69.15,1,usou,0,antigo
238,239,2023-12-19,546,5,131.98,1,usou,0,antigo
239,240,2023-07-31,687,3,146.94,0,não usou,1,antigo
240,241,2023-12-21,544,5,10.0,1,usou,0,antigo
241,242,2025-04-28,50,4,71.42,0,usou,0,intermediário
242,243,2024-08-30,291,7,60.04,1,usou,0,antigo
243,244,2023-08-17,670,7,106.2,1,usou,0,antigo
244,245,2023-08-22,665,10,74.15,1,usou,0,antigo
245,246,2025-01-05,163,5,114.01,0,usou,0,intermediário
246,247,2024-06-28,354,5,108.59,0,não usou,0,antigo
247,248,2025-03-11,98,9,95.39,0,não usou,0,intermediário
248,249,2023-08-09,678,3,23.19,0,usou,0,antigo
249,250,2025-01-27,141,2,86.4,0,não usou,0,intermediário
250,251,2024-08-03,318,7,82.37,1,usou,0,antigo
251,252,2025-01-31,137,6,80.69,1,não usou,0,intermediário
252,253,2023-09-22,634,6,25.0,0,usou,0,antigo
253,254,2023-09-24,632,2,79.16,0,não usou,0,antigo
254,255,2024-11-10,219,3,104.75,0,não usou,0,antigo
255,256,2024-06-20,362,9,53.99,1,usou,0,antigo
256,257,2024-08-17,304,2,95.67,1,usou,0,antigo
257,258,2023-10-23,603,6,55.51,0,usou,0,antigo
258,259,2024-01-08,526,4,117.05,1,não usou,0,antigo
259,260,2024-07-30,322,6,70.4,1,usou,0,antigo
260,261,2025-04-24,54,6,27.68,1,não usou,0,intermediário
261,262,2024-09-30,260,1,83.57,0,usou,0,antigo
262,263,2024-05-10,403,3,96.14,0,usou,0,antigo
263,264,2023-11-28,567,5,78.75,1,usou,0,antigo
264,265,2024-08-08,313,1,109.43,0,usou,0,antigo
265,266,2025-01-23,145,0,57.73,0,usou,1,intermediário
266,267,2025-01-03,165,5,31.97,0,não usou,0,intermediário
267,268,2024-12-03,196,8,55.15,1,não usou,0,antigo
268,269,2023-11-20,575,2,118.45,0,não usou,0,antigo
269,270,2024-12-21,178,6,96.73,0,usou,0,intermediário
270,271,2024-02-14,489,2,54.95,0,usou,0,antigo
271,272,2024-04-21,422,3,142.69,0,usou,0,antigo
272,273,2024-11-19,210,3,37.28,0,usou,1,antigo
273,274,2024-11-02,227,10,72.0,0,usou,0,antigo
274,275,2024-04-02,441,10,134.13,0,usou,0,antigo
275,276,2024-05-22,391,4,74.27,0,usou,1,antigo
276,277,2025-05-15,33,5,75.39,0,usou,0,intermediário
277,278,2024-07-23,329,5,53.81,1,usou,0,antigo
278,279,2024-06-01,381,8,43.66,0,usou,0,antigo
279,280,2023-09-18,638,2,101.92,0,não usou,0,antigo
280,281,2023-12-26,539,7,103.38,1,usou,0,antigo
281,282,2023-12-08,557,5,71.28,0,usou,0,antigo
282,283,2023-08-05,682,1,80.33,0,usou,0,antigo
283,284,2024-03-05,469,7,101.29,0,não usou,0,antigo
284,285,2023-07-03,715,1,100.71,0,usou,0,antigo
285,286,2024-09-15,275,3,10.0,1,usou,0,antigo
286,287,2024-08-20,301,8,103.5,1,usou,0,antigo
287,288,2023-12-12,553,4,72.45,1,não usou,0,antigo
288,289,2024-09-16,274,3,32.35,1,usou,0,antigo
289,290,2023-12-05,560,12,103.79,1,não usou,0,antigo
290,291,2023-06-22,726,9,100.87,0,não usou,0,antigo
291,292,2023-08-11,676,3,105.47,0,usou,0,antigo
292,293,2024-12-17,182,6,87.31,0,não usou,0,antigo
293,294,2024-10-19,241,5,121.6,0,usou,0,antigo
294,295,2023-08-01,686,3,82.09,0,usou,0,antigo
295,296,2023-12-11,554,4,60.81,1,não usou,0,antigo
296,297,2023-08-08,679,3,84.8,1,usou,0,antigo
297,298,2023-07-11,707,4,95.05,0,usou,0,antigo
298,299,2025-04-14,64,4,106.71,0,usou,0,intermediário
299,300,2024-02-28,475,4,111.06,1,usou,0,antigo
300,301,2023-08-11,676,1,77.5,0,usou,0,antigo
301,302,2024-07-20,332,2,85.57,1,não usou,0,antigo
302,303,2023-12-18,547,7,96.54,0,usou,0,antigo
303,304,2024-01-19,515,2,90.22,0,não usou,0,antigo
304,305,2024-11-17,212,6,79.29,0,usou,1,antigo
305,306,2024-06-28,354,4,74.77,0,usou,0,antigo
306,307,2023-11-30,565,3,90.78,0,não usou,0,antigo
307,308,2024-08-08,313,2,97.04,0,usou,0,antigo
308,309,2023-09-27,629,8,122.51,1,usou,0,antigo
309,310,2024-12-29,170,7,100.44,1,usou,0,intermediário
310,311,2025-05-02,46,6,63.51,0,não usou,0,intermediário
311,312,2024-09-02,288,4,105.79,1,usou,0,antigo
312,313,2024-09-06,284,2,103.71,1,usou,0,antigo
313,314,2024-06-18,364,4,90.2,0,usou,0,antigo
314,315,2023-12-22,543,9,111.95,0,não usou,0,antigo
315,316,2025-02-15,122,8,15.79,1,não usou,0,intermediário
316,317,2024-06-18,364,1,109.27,0,não usou,0,antigo
317,318,2025-03-05,104,1,107.55,1,não usou,0,intermediário
318,319,2024-04-28,415,4,75.62,0,não usou,1,antigo
319,320,2023-11-11,584,7,62.21,0,usou,0,antigo
320,321,2023-08-29,658,4,53.14,1,não usou,0,antigo
321,322,2023-08-31,656,4,67.76,1,não usou,0,antigo
322,323,2024-11-09,220,4,88.42,1,usou,0,antigo
323,324,2024-05-16,397,7,132.76,0,usou,0,antigo
324,325,2024-03-18,456,4,94.88,0,usou,0,antigo
325,326,2024-05-11,402,6,81.33,0,usou,0,antigo
326,327,2024-05-01,412,5,99.55,0,não usou,0,antigo
327,328,2024-06-13,369,7,45.87,0,não usou,0,antigo
328,329,2025-04-17,61,8,103.52,0,usou,0,intermediário
329,330,2025-01-03,165,4,89.32,0,não usou,0,intermediário
330,331,2023-07-29,689,3,52.77,1,usou,0,antigo
331,332,2024-11-21,208,6,125.58,0,usou,0,antigo
332,333,2024-11-05,224,7,51.52,0,não usou,0,antigo
333,334,2024-10-30,230,3,123.04,0,usou,0,antigo
334,335,2023-09-01,655,9,114.84,1,usou,1,antigo
